Number,Species,Family,ρ (g/cm3),ρ source,"DRH 
(cm)","POM 
(m)","HFMB 
(m)","HTotal 
(m)","AvgCR 
(m)","CEA 
(m2)",Mono,"Crown mass 
(kg)","Stem mass 
(kg)","Total AGB 
(kg)"
1,Theobroma cacao,Malvaceae,0.474,this study,10.6,1.3,5.6,10.6,2.6,21.4,1,14.8,27.4,42.2
2,Acacia loretensis,Fabaceae,0.601,this study,15.1,1.3,3.6,18.0,2.7,20.7,0,101.7,43.6,145.3
3,Drypetes amazonica,Putranjivaceae,0.710,this study,16.0,1.3,4.9,16.5,2.7,21.9,1,93.3,54.7,147.9
4,Pourouma cecropiifolia,Urticaceae,0.356,GWDD,18.9,1.3,10.3,16.2,3.3,34.2,0,63.2,75.0,138.2
5,Ocotea javitensis,Lauraceae,0.512,this study,21.5,1.3,13.6,18.0,2.8,23.4,1,32.5,132.6,165.2
6,Pseudolmedia laevis,Moraceae,0.619,GWDD,23.0,1.3,14.9,25.1,3.7,41.9,1,149.3,271.5,420.8
7,Trichilia adolfi,Meliaceae,0.686,this study,23.2,1.3,5.5,13.9,3.5,36.3,0,173.4,119.4,292.8
8,Inga striata,Fabaceae,0.607,this study,24.1,1.3,11.3,21.5,3.3,34.1,0,198.8,275.1,473.9
9,Swartzia jorori,Fabaceae,0.838,this study,30.3,1.3,14.0,23.0,2.4,17.6,0,316.5,466.7,783.2
10,Erythrina ulei,Fabaceae,0.362,this study,32.0,1.3,18.0,25.1,2.3,16.6,1,50.6,314.8,365.5
11,Pseudobombax septenatum,Malvaceae,0.360,this study,34.9,1.3,16.7,21.7,4.3,56.7,0,190.8,337.0,527.8
12,Celtis schippii,Cannabaceae,0.655,this study,35.0,1.3,10.5,23.4,5.8,104.7,0,486.0,441.5,927.6
13,Spondias mombin,Anacardiaceae,0.267,this study,39.0,1.3,18.3,22.6,4.1,48.3,0,122.9,250.3,373.2
14,Cavanillesia umbellata,Malvaceae,0.258,this study,39.7,1.3,8.6,18.3,2.8,23.1,1,52.2,95.6,147.8
15,Castilla ulei,Moraceae,0.495,this study,40.1,1.3,14.8,24.9,4.5,61,1,401.6,560.1,961.7
16,Apeiba tibourbou,Malvaceae,0.260,this study,41.1,1.5,9.1,18.5,3,24.8,0,251.6,233.3,484.9
17,Aspidosperma vargasii,Apocynaceae,0.610,this study,47.5,1.3,23.9,34.0,3.3,34.4,0,374.4,1658.2,2032.6
18,Pseudolmedia laevis,Moraceae,0.624,this study,50.2,1.5,17.7,33.4,4.9,74.6,0,1224.7,1776.4,3001.1
19,Clarisia racemosa,Moraceae,0.659,this study,53.7,1.3,19.9,37.2,7.2,163.7,0,1757.5,2303.8,4061.3
20,Myroxylon balsamum,Fabaceae,0.775,this study,57.7,1.3,19.2,30.3,5.8,103.9,0,1207.4,2354.6,3562.0
21,Jacaratia digitata,Caricaceae,0.265,GWDD,58.0,1.3,18.0,32.9,3.1,29.2,1,88.7,303.7,392.4
22,Acacia polyphylla,Fabaceae,0.723,this study,59.7,1.3,11.3,33.3,11.3,402.2,0,3083.0,1652.8,4735.8
23,Sterculia apetala,Malvaceae,0.441,this study,62.4,1.6,18.1,27.0,5.4,87.9,0,765.4,1209.7,1975.2
24,Qualea tessmannii ,Vochysiaceae,0.589,this study,62.8,1.5,14.2,27.2,10.2,328.5,0,1758.2,1911.1,3669.3
25,Spondias mombin,Anacardiaceae,0.331,this study,69.2,1.3,19.7,29.5,8.4,218.8,0,839.6,1192.8,2032.5
26,Crepidospermum goudotianum,Burseraceae,0.700,this study,75.5,1.3,19.1,36.0,8.1,196.3,0,4445.6,4502.0,8947.6
27,Amburana cearensis,Fabaceae,0.582,this study,76.0,1.3,22.4,33.9,7.4,170.8,0,1483.2,3732.1,5215.2
28,Dipteryx micrantha,Fabaceae,0.890,this study,80.8,2.9,21.8,35.2,8.3,215,0,5456.1,7154.2,12610.4
29,Gallesia integrifolia,Phytolaccaceae,0.530,this study,80.9,3.0,22.2,29.7,6.1,115.9,0,364.0,1862.9,2226.8
30,Hymenaea courbaril,Fabaceae,0.780,this study,81.0,1.3,25.3,42.3,7.1,159.4,0,3467.4,7016.7,10484.1
31,Ceiba lupuna,Malvaceae,0.554,this study,83.9,3.2,16.3,32.7,10.5,341.9,0,3997.2,3266.4,7263.6
32,Ceiba samauma,Malvaceae,0.386,this study,85.4,1.5,14.2,25.0,6.8,144.6,1,743.9,1770.6,2514.5
33,Phyllocarpus riedelii,Fabaceae,0.532,this study,85.6,4.0,13.1,50.0,9.6,290.8,0,7976.4,4512.7,12489.0
34,Mezilaurus itauba,Lauraceae,0.615,this study,92.6,3.5,20.6,39.0,11.2,390.6,0,4577.6,6305.8,10883.4
35,Amburana cearensis,Fabaceae,0.590,this study,93.0,1.3,15.1,39.8,11.9,432,0,5687.7,4476.7,10164.5
36,Pterygota amazonica,Malvaceae,0.705,this study,93.8,3.7,19.7,41.5,9.8,297.7,1,4373.7,9881.8,14255.4
37,Ceiba lupuna,Malvaceae,0.460,this study,98.0,4.2,15.7,32.0,10.8,366.5,0,4087.4,4094.7,8182.1
38,Ceiba samauma,Malvaceae,0.402,this study,98.0,2.6,14.8,28.3,7.7,184.6,0,1325.3,3345.7,4671.0
39,Calycophyllum spruceanum,Rubiaceae,0.781,this study,98.8,3.0,11.0,34.8,8.5,227.9,0,4710.8,6258.4,10969.2
40,Spondias mombin,Anacardiaceae,0.385,this study,104.5,1.3,16.8,27.2,9.3,267.9,0,3670.5,3626.3,7296.7
41,Dipteryx micrantha,Fabaceae,0.890,this study,105.9,2.8,17.8,41.5,13.3,551.3,0,14724.5,10617.7,25342.2
42,Apuleia leiocarpa,Fabaceae,0.855,this study,108.0,2.0,17.3,30.4,8.3,205.7,0,3582.1,8643.7,12225.8
43,Dipteryx micrantha,Fabaceae,0.890,this study,109.0,3.4,22.0,39.5,12.5,457.7,0,13127.8,15298.8,28426.6
44,Cariniana decandra,Lecythidaceae,0.573,this study,110.8,2.0,20.3,47.5,13.2,549.3,0,10392.1,9524.1,19916.3
45,Cavanillesia umbellata,Malvaceae,0.132,this study,115.0,1.3,18.3,27.7,6.6,136.2,1,1014.7,1282.6,2297.2
46,Copaifera reticulata,Fabaceae,0.590,this study,117.2,1.3,13.8,33.8,10,314,0,6865.2,8592.7,15457.9
47,Ficus insipida,Moraceae,0.451,this study,129.8,4.0,20.8,42.1,17.3,934.6,0,12192.6,10786.8,22979.4
48,Swietenia macrophylla,Meliaceae,0.630,this study,130.0,3.5,15.2,46.7,11.9,440.6,0,15173.7,9151.3,24325.1
49,Brosimum alicastrum,Moraceae,0.650,this study,132.0,3.8,14.3,43.0,16.6,857.7,0,27385.5,11471.9,38857.4
50,Dipteryx micrantha,Fabaceae,0.834,this study,158.0,5.8,16.2,44.1,17.8,996,0,54329.5,21734.0,76063.5
51,Luehea cymulosa,Malvaceae,0.543,this study,169.0,4.0,19.3,41.3,14,603.7,0,12236.8,8818.7,21055.5