Field Session (Year),Individual Number (per year),Date of field observation,Habitat type,Stage of Molt (%),Aggregation (contact)
2012,3,1/20/12,Grass,80,yes
2012,3,1/21/12,Grass,90,yes
2012,3,1/22/12,Grass,100,
2012,3,1/23/12,Grass,100,yes
2012,3,1/24/12,Beach,100,no
2012,3,1/26/12,Beach,100,yes
2012,3,1/28/12,Grass,100,yes
2012,4,1/22/12,Grass,60,
2012,4,1/23/12,Grass,70,yes
2012,4,1/24/12,Beach,80,no
2012,4,1/25/12,Grass,90,yes
2012,4,1/26/12,Beach,100,yes
2012,4,1/27/12,Grass,100,yes
2012,4,2/3/12,Grass,100,
2012,4,2/6/12,Grass,100,no
2012,10,1/26/12,,50,yes
2012,10,1/30/12,Grass,80,
2012,10,1/31/12,Beach,80,no
2012,11,1/28/12,,80,no
2012,11,1/30/12,Grass,100,yes
2012,11,2/1/12,Wallows,100,no
2012,11,2/2/12,Grass,100,yes
2012,11,2/10/12,Grass,100,yes
2012,11,2/12/12,Beach,100,yes
2012,13,1/29/12,Beach,30,yes
2012,13,1/30/12,Beach,40,yes
2012,13,2/1/12,Beach,60,yes
2012,13,2/2/12,Beach,70,yes
2012,13,2/3/12,Beach,70,yes
2012,13,2/4/12,Beach,80,yes
2012,13,2/5/12,Beach,90,yes
2012,13,2/6/12,Beach,100,yes
2012,13,2/9/12,Grass,100,yes
2012,13,2/10/12,Grass,100,no
2012,13,2/11/12,Grass,100,
2012,13,2/12/12,Grass,100,yes
2012,13,2/13/12,Beach,100,no
2012,14,1/29/12,Grass,30,yes
2012,14,1/30/12,Grass,40,yes
2012,14,1/31/12,,50,yes
2012,14,2/1/12,Grass,50,yes
2012,14,2/2/12,Grass,70,
2012,14,2/3/12,Beach,80,yes
2012,14,2/4/12,Beach,80,yes
2012,14,2/5/12,Beach,90,
2012,14,2/6/12,Beach,90,yes
2012,15,1/29/12,Grass,60,yes
2012,15,1/30/12,Grass,80,yes
2012,15,1/31/12,Wallows,100,no
2012,15,2/1/12,Grass,100,yes
2012,15,2/2/12,Grass,100,yes
2012,15,2/3/12,Grass,100,yes
2012,15,2/10/12,Beach,100,yes
2012,16,1/31/12,Beach,50,yes
2012,16,2/1/12,Wallows,60,yes
2012,16,2/2/12,Wallows,70,no
2012,16,2/3/12,Grass,70,yes
2012,16,2/4/12,Beach,80,yes
2012,16,2/5/12,Beach,90,yes
2012,16,2/6/12,Grass,100,yes
2012,16,2/13/12,Beach,100,yes
2012,16,2/14/12,Beach,100,yes
2012,16,2/16/12,Beach,100,yes
2012,17,1/31/12,Grass,70,
2012,17,2/2/12,Grass,100,yes
2012,17,2/4/12,Wallows,100,yes
2012,17,2/12/12,Beach,100,yes
2012,17,2/13/12,Beach,100,yes
2012,18,1/31/12,Wallows,60,yes
2012,18,2/1/12,Wallows,80,yes
2012,18,2/2/12,Wallows,90,yes
2012,18,2/3/12,Grass,100,yes
2012,18,2/4/12,Wallows,100,yes
2012,18,2/6/12,Grass,100,no
2012,19,2/5/12,Beach,90,yes
2012,19,2/6/12,Beach,100,yes
2012,19,2/7/12,Beach,100,yes
2012,19,2/8/12,,,
2012,19,2/13/12,Beach,100,no
2012,20,2/1/12,Grass,30,
2012,20,2/3/12,Beach,50,yes
2012,20,2/8/12,Beach,100,yes
2012,20,2/15/12,Beach,100,yes
2014,1,1/19/14,Grass,90,yes
2014,1,1/21/14,Grass,100,yes
2014,1,1/23/14,Beach,100,yes
2014,1,1/24/14,Beach,100,yes
2014,2,1/17/14,Grass,80,no
2014,2,1/18/14,Grass,90,yes
2014,2,1/20/14,Grass,100,no
2014,2,1/21/14,Grass,100,yes
2014,2,1/27/14,beach,100,yes
2014,2,1/28/14,Beach,100,yes
2014,2,1/29/14,Grass,100,yes
2014,3,1/17/14,Grass,50,yes
2014,3,1/18/14,Grass,90,no
2014,3,1/19/14,Grass,90,yes
2014,3,1/20/14,Grass,90,yes
2014,3,1/21/14,Grass,100,yes
2014,3,1/22/14,Grass,100,no
2014,3,1/24/14,Grass,100,no
2014,3,1/25/14,Grass,100,no
2014,4,1/16/14,Wallows,80,yes
2014,4,1/19/14,Grass,90,yes
2014,5,1/17/14,Wallows,70,no
2014,5,1/18/14,Grass,80,no
2014,6,1/15/14,Grass,20,no
2014,6,1/16/14,Wallows,40,yes
2014,6,1/17/14,Wallows,50,yes
2014,6,1/21/14,Grass,100,yes
2014,7,1/15/14,Wallows,,yes
2014,7,1/16/14,Wallows,40,yes
2014,7,1/17/14,Wallows,70,yes
2014,7,1/18/14,Wallows,90,no
2014,7,1/19/14,Wallows,100,yes
2014,7,1/20/14,Wallows,100,yes
2014,8,1/15/14,Wallows,20,yes
2014,8,1/16/14,Wallows,40,yes
2014,8,1/17/14,Grass,60,no
2014,8,1/26/14,Grass,100,no
2014,8,1/28/14,Beach,100,yes
2014,9,1/17/14,Beach,,no
2014,9,1/18/14,,,
2014,9,1/19/14,grass,60,
2014,9,1/20/14,Grass,70,yes
2014,9,1/21/14,Grass,80,yes
2014,9,1/23/14,Grass,100,yes
2014,10,1/16/14,Grass,30,yes
2014,10,1/17/14,Grass,40,no
2014,10,1/18/14,Grass,60,yes
2014,10,1/19/14,Grass,70,yes
2014,10,1/21/14,Grass,90,yes
2014,10,1/22/14,Wallows,100,yes
2014,10,1/26/14,,100,
2014,10,1/27/14,,100,
2014,10,1/28/14,Beach,100,no
2014,11,1/15/14,beach,30,yes
2014,11,1/16/14,Wallows,40,yes
2014,11,1/17/14,Grass,50,no
2014,11,1/21/14,,,
2014,12,1/15/14,beach,10,yes
2014,12,1/16/14,Grass,20,yes
2014,12,1/17/14,Grass,20,no
2014,12,1/18/14,Wallows,60,yes
2014,12,1/19/14,Grass,60,no
2014,12,1/20/14,Grass,70,yes
2014,12,1/21/14,Grass,80,yes
2014,12,1/22/14,Wallows,95,yes
2014,12,1/23/14,Wallows,100,yes
2014,12,1/24/14,Wallows,100,yes
2014,12,1/26/14,,100,
2014,12,1/29/14,Beach,100,yes
2014,14,2/13/14,Beach,100,yes
2014,14,2/22/14,Beach,100,yes
2014,14,2/23/14,Beach,100,yes
2014,14,2/26/14,Beach,100,yes
2014,17,2/11/14,Grass,60,no
2014,17,2/12/14,Wallows,90,yes
2014,17,2/13/14,Wallows,100,yes
2014,17,2/14/14,Wallows,100,yes
2014,17,2/15/14,Grass,100,yes
2014,17,2/21/14,Beach,100,yes
2014,17,2/22/14,Beach,100,no
2014,17,2/23/14,Beach,,no
2014,17,2/24/14,Beach,,yes
2014,17,2/25/14,Beach,100,yes
2014,17,2/26/14,Beach,100,yes
2014,18,2/11/14,Grass,80,yes
2014,18,2/12/14,Grass,,no
2014,18,2/13/14,Grass,100,yes
2014,18,2/14/14,Grass,100,yes
2014,18,2/23/14,Beach,,yes
2014,19,2/11/14,Grass,60,yes
2014,19,2/12/14,Grass,70,yes
2014,19,2/13/14,Grass,90,yes
2014,19,2/14/14,Grass,100,no
2014,19,2/16/14,Grass,100,yes
2014,20,2/11/14,Wallows,70,yes
2014,20,2/12/14,Beach,80,yes
2014,20,2/13/14,Beach,90,yes
2014,20,2/14/14,Beach,100,yes
2014,20,2/16/14,Beach,100,yes
2014,20,2/22/14,Beach,100,yes
2014,21,2/11/14,Beach,60,no
2014,21,2/12/14,Grass,70,no
2014,21,2/13/14,Grass,90,yes
2014,21,2/14/14,Grass,100,yes
2014,21,2/15/14,Grass,100,yes
2014,22,2/11/14,Wallows,40,yes
2014,22,2/12/14,Wallows,70,yes
2014,22,2/13/14,Wallows,90,yes
2014,22,2/14/14,Wallows,90,no
2014,22,2/15/14,Wallows,100,yes
2014,22,2/26/14,Beach,100,yes
2014,22,2/27/14,Beach,100,yes
2014,22,2/28/14,Grass,100,no
2014,23,2/11/14,Wallows,70,yes
2014,23,2/12/14,Wallows,90,yes
2014,23,2/13/14,Grass,90,yes
2014,23,2/14/14,Wallows,100,yes
2014,23,2/21/14,Beach,100,yes
2014,23,2/22/14,Beach,100,yes
2014,23,2/23/14,Beach,100,yes
2014,26,2/23/14,Wallows,30,yes
2014,26,2/24/14,Wallows,,no
2014,26,2/27/14,Beach,,
2014,26,2/28/14,Grass,,yes
2014,27,2/26/14,Wallows,60,no
2014,27,2/27/14,Wallows,80,no
2014,27,2/28/14,Wallows,,no
2016,42,1/27/16,Wallows,80,yes
2016,42,1/28/16,Wallows,90,yes
2016,42,1/30/16,Grass,100,no
2016,42,1/31/16,Grass,100,yes
2016,43,1/26/16,Grass,50,no
2016,43,1/27/16,Grass,60,yes
2016,43,1/28/16,Grass,70,yes
2016,43,1/30/16,Grass,80,no
2016,43,1/31/16,Grass,100,yes
2016,45,1/28/16,Wallows,40,yes
2016,45,1/28/16,Wallows,40,yes
2016,45,1/28/16,Wallows,40,yes
2016,45,1/28/16,Grass,40,yes
2016,45,1/29/16,Wallows,70,yes
2016,45,1/30/16,Grass,80,no
2016,45,1/31/16,Grass,90,yes
2016,47,1/28/16,Grass,40,no
2016,47,1/29/16,Grass,80,yes
2016,47,1/30/16,Grass,60,no
2016,47,1/31/16,Grass,90,yes
2016,50,1/28/16,Wallows,40,no
2016,50,1/28/16,Grass,40,yes
2016,50,1/28/16,Grass,40,yes
2016,50,1/29/16,Grass,70,no
2016,50,1/30/16,Grass,70,no
2016,50,1/31/16,Grass,100,yes
2016,51,1/28/16,Wallows,70,yes
2016,51,1/28/16,,70,
2016,51,1/28/16,Grass,70,no
2016,51,1/30/16,Grass,90,yes
2016,51,1/31/16,Grass,100,yes
2016,54,1/29/16,Wallows,80,yes
2016,54,1/30/16,Wallows,90,no
2016,54,1/31/16,Grass,100,no
2016,55,2/16/16,Beach,40,yes
2016,55,2/17/16,Beach,50,yes
2016,55,2/18/16,Beach,60,yes
2016,55,2/19/16,Beach,80,no
2016,55,2/20/16,,90,
2016,55,2/21/16,Beach,90,no
2016,56,2/17/16,Beach,40,yes
2016,56,2/18/16,Grass,60,no
2016,56,2/19/16,Beach,70,no
2016,56,2/20/16,Beach,90,yes
2016,56,2/21/16,,100,
2016,57,2/17/16,Beach,40,yes
2016,57,2/18/16,Beach,50,yes
2016,57,2/19/16,Beach,60,no
2016,57,2/21/16,Beach,90,yes
2016,58,2/18/16,Beach,50,yes
2016,58,2/19/16,Beach,60,yes
2016,58,2/20/16,Beach,90,yes
2016,58,2/21/16,Beach,90,yes